iter	RMSE
0	38526.93127
1	37442.57852
2	36445.73909
3	35548.50911
4	34696.40657
5	33900.72323
6	33219.66884
7	32538.05804
8	31935.97512
9	31377.91727
10	30847.56476
11	30394.83709
12	29941.3987
13	29546.71701
14	29173.943
15	28815.38258
16	28487.18194
17	28148.90214
18	27836.02487
19	27543.31839
20	27272.40764
21	27018.03573
22	26791.97775
23	26560.58767
24	26350.30915
25	26157.90581
26	25990.2589
27	25832.55668
28	25686.72424
29	25535.03483
30	25396.12335
31	25252.9835
32	25120.72458
33	25013.80258
34	24888.99487
35	24783.45097
36	24700.60042
37	24603.04621
38	24501.80887
39	24426.21672
40	24340.83094
41	24265.82259
42	24185.67079
43	24115.55654
44	24037.84678
45	23968.10065
46	23893.43441
47	23827.30209
48	23764.95777
49	23694.22419
50	23650.08065
51	23595.23185
52	23552.78406
53	23499.24298
54	23456.38281
55	23409.62391
56	23371.83422
57	23301.77565
58	23257.19642
59	23201.47107
60	23154.26686
61	23111.98758
62	23073.73806
63	23036.87549
64	23005.40717
65	22972.40015
66	22943.34598
67	22905.00881
68	22873.68499
69	22844.88791
70	22805.82598
71	22774.1888
72	22731.01645
73	22697.00182
74	22675.95142
75	22628.3384
76	22590.7055
77	22568.92241
78	22542.84137
79	22506.40324
80	22474.45473
81	22439.32167
82	22399.13469
83	22382.93507
84	22350.9379
85	22328.86464
86	22304.15659
87	22275.0299
88	22253.69115
89	22223.41104
90	22204.99076
91	22181.89639
92	22153.85145
93	22127.98424
94	22098.84667
95	22065.86452
96	22043.16913
97	22019.03512
98	21996.38793
99	21965.5373
100	21925.68951
101	21896.33498
102	21875.68206
103	21855.20327
104	21835.64329
105	21807.01113
106	21786.60167
107	21771.13242
108	21750.33066
109	21729.32814
110	21709.57509
111	21683.78342
112	21655.20783
113	21638.03195
114	21624.17525
115	21604.73221
116	21581.84747
117	21564.99018
118	21552.51084
119	21524.6613
120	21501.66418
121	21481.33188
122	21459.29379
123	21440.25134
124	21421.88269
125	21402.63637
126	21386.627
127	21368.99219
128	21347.04074
129	21336.73105
130	21317.41558
131	21305.40927
132	21283.01827
133	21273.43639
134	21242.80703
135	21226.22124
136	21211.34429
137	21197.63527
138	21184.21914
139	21165.99517
140	21143.20541
141	21123.34012
142	21101.6634
143	21089.76384
144	21072.25082
145	21053.45194
146	21032.41236
147	21008.79644
148	20992.02585
149	20968.02342
150	20944.76956
151	20930.90382
152	20908.44597
153	20873.40975
154	20853.21486
155	20819.59002
156	20798.80236
157	20782.04388
158	20755.29777
159	20734.67488
160	20721.70413
161	20699.00651
162	20683.16221
163	20669.36137
164	20652.76826
165	20631.49737
166	20615.85948
167	20602.26655
168	20583.30506
169	20567.77928
170	20552.39867
171	20543.89527
172	20525.8345
173	20510.27319
174	20488.38475
175	20475.48986
176	20458.55972
177	20443.78264
178	20431.6234
179	20411.12148
180	20388.56238
181	20377.52289
182	20355.31952
183	20349.99968
184	20331.76603
185	20319.03866
186	20310.36571
187	20291.63746
188	20272.52043
189	20246.42211
190	20224.95097
191	20205.15041
192	20182.35329
193	20156.69333
194	20141.5477
195	20126.97394
196	20114.02015
197	20093.15548
198	20062.98542
199	20040.87757
200	20024.33575
201	20009.83226
202	20005.73547
203	19991.17677
204	19976.28368
205	19961.45065
206	19955.85826
207	19935.20283
208	19929.96941
209	19910.48147
210	19884.29576
211	19866.70835
212	19846.51164
213	19829.64583
214	19816.71363
215	19797.22443
216	19784.23541
217	19769.70887
218	19750.2304
219	19733.42385
220	19715.61904
221	19699.47553
222	19696.14917
223	19681.72883
224	19668.84873
225	19666.14798
226	19661.86018
227	19643.69755
228	19628.17298
229	19617.78282
230	19596.61524
231	19572.68266
232	19562.49062
233	19555.4536
234	19536.74178
235	19517.0205
236	19494.86536
237	19480.00222
238	19459.09611
239	19442.50805
240	19429.66344
241	19418.28138
242	19408.57457
243	19386.46753
244	19383.94441
245	19368.37119
246	19355.68541
247	19341.43755
248	19323.88368
249	19319.88651
250	19315.8589
251	19303.85735
252	19285.9252
253	19284.32137
254	19269.45704
255	19266.21423
256	19264.91685
257	19251.77603
258	19236.07269
259	19217.75559
260	19199.38116
261	19190.12277
262	19174.16737
263	19164.65755
264	19160.66473
265	19151.85182
266	19149.68701
267	19137.16855
268	19125.54385
269	19122.01401
270	19110.62545
271	19097.59607
272	19081.43611
273	19059.83547
274	19038.20343
275	19021.00354
276	19009.27766
277	18993.20821
278	18981.0091
279	18968.52764
280	18962.25246
281	18950.99408
282	18937.64146
283	18932.81073
284	18917.43774
285	18901.82085
286	18900.18956
287	18888.80314
288	18871.048
289	18850.9721
290	18840.3885
291	18824.29275
292	18810.94113
293	18797.60793
294	18786.73215
295	18770.37843
296	18761.89475
297	18758.94886
298	18745.45551
299	18736.90774
300	18721.16278
301	18720.05726
302	18718.72614
303	18703.58977
304	18694.81382
305	18690.83048
306	18687.7497
307	18672.33356
308	18660.41138
309	18649.32281
310	18638.91823
311	18623.77063
312	18613.37353
313	18612.38736
314	18598.6495
315	18583.38913
316	18566.55998
317	18550.05608
318	18546.72542
319	18534.01109
320	18531.34588
321	18527.70668
322	18513.03182
323	18502.88311
324	18481.61594
325	18463.71926
326	18452.63987
327	18435.15776
328	18432.24766
329	18424.39601
330	18413.7636
331	18401.32245
332	18393.89386
333	18381.80149
334	18367.97696
335	18354.713
336	18341.15246
337	18326.73556
338	18316.62344
339	18298.99025
340	18289.10052
341	18275.84245
342	18267.37791
343	18252.85129
344	18247.9338
345	18236.92468
346	18227.71583
347	18218.10716
348	18208.21849
349	18194.65571
350	18181.68628
351	18169.95191
352	18157.05305
353	18144.80176
354	18131.78387
355	18122.92859
356	18117.25614
357	18116.20283
358	18104.90089
359	18097.32903
360	18096.53272
361	18082.59735
362	18069.35803
363	18064.1547
364	18054.65332
365	18044.68307
366	18030.072
367	18019.80799
368	18013.58433
369	18004.67795
370	17995.95941
371	17985.73489
372	17976.50854
373	17974.33124
374	17963.52447
375	17954.8877
376	17952.30875
377	17942.11397
378	17935.36994
379	17924.57213
380	17912.77125
381	17903.34857
382	17892.73346
383	17885.11942
384	17872.77042
385	17862.58445
386	17855.564
387	17846.02398
388	17838.99013
389	17834.20149
390	17824.85621
391	17815.75034
392	17812.50759
393	17804.30801
394	17791.82879
395	17780.84283
396	17768.01018
397	17760.67046
398	17757.4846
399	17749.11284
400	17739.08522
401	17731.3296
402	17727.85596
403	17721.72241
404	17718.44435
405	17700.40397
406	17695.33283
407	17686.70773
408	17681.09091
409	17670.00666
410	17659.06264
411	17649.88395
412	17640.99888
413	17633.96961
414	17626.17164
415	17618.47313
416	17609.40885
417	17597.81117
418	17585.87886
419	17568.90353
420	17557.76032
421	17550.18521
422	17548.9747
423	17536.20905
424	17527.2453
425	17519.79393
426	17506.53453
427	17491.20029
428	17485.10468
429	17481.21465
430	17470.77924
431	17465.70457
432	17450.24624
433	17445.32792
434	17436.55917
435	17427.88199
436	17419.74439
437	17411.19865
438	17406.11513
439	17392.97014
440	17381.7289
441	17372.76707
442	17363.18722
443	17355.08951
444	17346.35604
445	17329.89852
446	17316.77434
447	17306.82402
448	17296.82001
449	17287.77477
450	17281.2698
451	17270.83774
452	17263.96859
453	17256.01444
454	17243.86031
455	17235.34903
456	17226.41861
457	17224.23397
458	17215.71415
459	17209.1109
460	17202.03671
461	17193.89185
462	17185.34153
463	17175.84332
464	17166.69288
465	17163.21409
466	17154.11293
467	17143.99516
468	17138.79745
469	17134.0262
470	17126.35776
471	17113.23115
472	17105.99923
473	17099.12709
474	17091.52061
475	17084.67892
476	17079.97479
477	17066.96298
478	17056.11145
479	17047.82059
480	17036.63517
481	17030.18555
482	17025.67638
483	17012.72125
484	17001.22954
485	16995.80595
486	16995.0315
487	16984.94633
488	16981.1657
489	16969.60021
490	16961.64932
491	16955.97046
492	16949.95883
493	16947.42163
494	16940.55478
495	16932.22693
496	16924.60582
497	16917.67984
498	16907.67152
499	16898.92958
500	16890.53365
501	16888.14248
502	16880.43886
503	16874.04217
504	16866.70051
505	16865.11245
506	16857.89647
507	16855.21013
508	16844.25545
509	16835.31835
510	16829.15476
511	16821.99919
512	16810.56206
513	16801.09373
514	16795.07652
515	16788.4033
516	16780.90747
517	16779.09539
518	16765.1542
519	16758.02297
520	16751.04869
521	16741.7832
522	16732.13385
523	16725.69573
524	16720.13565
525	16714.70246
526	16708.14874
527	16698.95137
528	16693.81964
529	16692.20637
530	16684.32031
531	16679.59194
532	16674.26801
533	16672.76435
534	16671.16613
535	16663.04232
536	16649.97317
537	16636.18525
538	16628.74556
539	16623.30626
540	16614.94912
541	16608.39791
542	16597.89475
543	16586.27639
544	16581.42903
545	16573.03349
546	16565.14183
547	16555.33089
548	16544.64608
549	16539.32036
550	16528.61726
551	16521.56908
552	16512.26107
553	16507.23689
554	16498.28097
555	16493.64131
556	16487.48826
557	16479.78713
558	16473.04366
559	16472.02188
560	16462.38032
561	16455.31034
562	16450.87289
563	16445.95785
564	16438.18987
565	16432.26882
566	16428.59689
567	16424.26391
568	16416.19443
569	16406.25995
570	16397.46161
571	16390.62718
572	16389.82009
573	16385.46048
574	16383.20253
575	16377.272
576	16366.63745
577	16360.99222
578	16353.334
579	16345.49113
580	16341.14414
581	16336.79139
582	16329.19594
583	16323.35518
584	16311.11275
585	16302.67192
586	16300.9902
587	16296.72464
588	16291.3314
589	16281.27895
590	16273.75079
591	16266.05478
592	16262.3203
593	16255.06241
594	16246.0186
595	16242.43103
596	16236.53391
597	16228.93625
598	16220.84623
599	16211.03134
600	16202.4431
601	16193.78162
602	16191.86469
603	16188.11524
604	16182.02759
605	16176.44588
606	16166.48028
607	16161.1653
608	16155.47609
609	16150.27463
610	16141.27795
611	16136.74035
612	16130.49799
613	16121.23601
614	16111.70788
615	16102.61796
616	16095.76333
617	16093.37719
618	16087.48555
619	16079.44592
620	16070.92865
621	16065.80513
622	16061.17141
623	16055.82819
624	16049.49973
625	16043.8844
626	16038.03064
627	16030.22145
628	16019.66536
629	16011.67419
630	16004.19553
631	15995.58594
632	15987.90138
633	15984.21091
634	15978.11192
635	15974.9094
636	15967.54528
637	15955.37116
638	15947.28009
639	15940.94551
640	15931.33639
641	15922.47258
642	15917.12857
643	15911.62343
644	15901.92087
645	15892.4276
646	15882.85509
647	15876.46841
648	15868.65469
649	15861.64812
650	15857.43221
651	15856.0391
652	15852.6399
653	15848.95763
654	15844.90908
655	15837.72874
656	15827.2298
657	15823.23642
658	15817.09989
659	15811.81819
660	15806.40576
661	15802.29881
662	15797.82773
663	15796.93004
664	15789.393
665	15781.40442
666	15777.49179
667	15768.8567
668	15761.60387
669	15757.93546
670	15754.97565
671	15746.79223
672	15741.1834
673	15738.4521
674	15733.89807
675	15727.52951
676	15721.42134
677	15717.40168
678	15714.37895
679	15711.85467
680	15703.86055
681	15696.92852
682	15690.45646
683	15685.63299
684	15678.96638
685	15669.15601
686	15664.18668
687	15659.81502
688	15653.50866
689	15649.94344
690	15649.02016
691	15643.86536
692	15639.35484
693	15635.1309
694	15628.94863
695	15620.01374
696	15618.35011
697	15609.69074
698	15601.97624
699	15598.16481
700	15593.06696
701	15589.29123
702	15586.19308
703	15580.34955
704	15576.54018
705	15566.04653
706	15559.52043
707	15549.08522
708	15542.82314
709	15539.53906
710	15535.40324
711	15531.22716
712	15523.68688
713	15519.00326
714	15516.18401
715	15512.62805
716	15507.60143
717	15502.38355
718	15498.8516
719	15495.38297
720	15489.91047
721	15482.65211
722	15481.43876
723	15477.17212
724	15473.00431
725	15466.52055
726	15460.89559
727	15456.85176
728	15453.32743
729	15449.48804
