iter	Passed	Remaining
0	3	3066
1	5	2801
2	8	2672
3	10	2555
4	12	2524
5	14	2436
6	16	2387
7	19	2396
8	21	2374
9	24	2393
10	26	2364
11	28	2321
12	30	2285
13	32	2278
14	34	2297
15	37	2291
16	39	2277
17	41	2262
18	43	2245
19	45	2245
20	48	2242
21	50	2228
22	52	2223
23	54	2233
24	57	2239
25	59	2245
26	62	2250
27	64	2246
28	66	2234
29	68	2224
30	70	2212
31	72	2203
32	74	2188
33	76	2177
34	78	2173
35	80	2163
36	82	2148
37	84	2139
38	86	2125
39	87	2110
40	89	2099
41	91	2098
42	93	2090
43	95	2078
44	97	2069
45	99	2060
46	101	2053
47	102	2042
48	104	2033
49	106	2025
50	108	2016
51	110	2016
52	113	2023
53	115	2026
54	118	2030
55	120	2028
56	122	2029
57	124	2028
58	126	2020
59	128	2012
60	130	2009
61	132	2004
62	134	1995
63	136	1990
64	137	1983
65	139	1979
66	141	1972
67	143	1965
68	145	1958
69	146	1952
70	148	1946
71	150	1944
72	152	1939
73	154	1932
74	156	1926
75	158	1927
76	160	1925
77	162	1919
78	164	1916
79	166	1915
80	168	1910
81	170	1908
82	172	1906
83	174	1904
84	176	1903
85	179	1904
86	181	1902
87	183	1899
88	185	1897
89	187	1892
90	189	1889
91	191	1886
92	192	1881
93	194	1877
94	196	1874
95	198	1870
96	200	1864
97	202	1859
98	203	1855
99	205	1852
100	207	1848
101	209	1843
102	211	1841
103	213	1838
104	215	1835
105	217	1831
106	219	1828
107	220	1822
108	222	1817
109	224	1812
110	226	1813
111	228	1809
112	230	1806
113	232	1804
114	234	1802
115	236	1803
116	239	1805
117	241	1804
118	243	1801
119	245	1801
120	247	1798
121	249	1794
122	251	1792
123	269	1904
124	271	1900
125	273	1895
126	275	1891
127	276	1886
128	278	1881
129	280	1876
130	282	1871
131	284	1868
132	286	1866
133	288	1861
134	289	1856
135	291	1852
136	293	1850
137	295	1848
138	298	1848
139	300	1848
140	302	1845
141	305	1846
142	307	1843
143	309	1838
144	311	1835
145	313	1831
146	315	1828
147	316	1824
148	318	1819
149	320	1815
150	322	1811
151	324	1810
152	326	1805
153	327	1801
154	330	1799
155	331	1795
156	333	1793
157	335	1788
158	337	1784
159	339	1780
160	341	1777
161	342	1773
162	345	1772
163	347	1769
164	348	1765
165	350	1762
166	352	1759
167	354	1757
168	357	1756
169	359	1756
170	361	1753
171	363	1751
172	365	1748
173	367	1745
174	369	1741
175	371	1739
176	373	1736
177	375	1732
178	376	1728
179	378	1725
180	380	1722
181	382	1718
182	384	1715
183	385	1711
184	387	1708
185	389	1704
186	391	1701
187	393	1697
188	394	1693
189	396	1690
190	398	1689
191	400	1686
192	402	1683
193	404	1682
194	406	1678
195	408	1674
196	410	1671
197	412	1669
198	414	1667
199	416	1665
200	419	1667
201	421	1664
202	423	1661
203	425	1659
204	427	1656
205	429	1653
206	430	1650
207	432	1647
208	434	1644
209	436	1641
210	438	1639
211	440	1636
212	442	1633
213	443	1630
214	445	1627
215	447	1624
216	449	1621
217	451	1619
218	453	1615
219	454	1612
220	457	1610
221	459	1609
222	460	1605
223	462	1602
224	464	1599
225	465	1595
226	467	1592
227	469	1589
228	471	1586
229	472	1583
230	475	1582
231	478	1585
232	481	1585
233	483	1582
234	485	1580
235	487	1577
236	489	1574
237	491	1572
238	492	1569
239	494	1567
240	496	1564
241	498	1561
242	500	1558
243	502	1555
244	503	1552
245	505	1550
246	507	1547
247	509	1544
248	511	1542
249	513	1540
250	515	1537
251	517	1535
252	519	1532
253	520	1529
254	522	1527
255	524	1525
256	526	1522
257	528	1518
258	529	1515
259	531	1513
260	534	1512
261	536	1510
262	539	1511
263	542	1511
264	544	1508
265	545	1506
266	547	1503
267	549	1501
268	551	1499
269	553	1497
